Malaysia Exports By Category,X,M,export,import
Electrical equipment,,,119.04,72.8
"Mineral fuels, oils",,,51.64,50.77
"Machinery, nuclear reactors",,,23.93,25.27
"Animal, vegetable oils",16.88,2.54,16.88,2.54
"Optical, photo, medical apparatus",13.66,6.66,13.66,6.66
Plastics,9.03,8.48,9.03,8.48
Aluminum,5.95,5.15,5.95,5.15
Iron and steel,5.91,5.95,5.91,5.95
Miscellaneous chemical products,5.64,5.7,5.64,5.7
Rubbers,5.51,3.37,5.51,3.37
Organic chemicals,4.89,4.39,4.89,4.39
Furniture,3.15,1.35,3.15,1.35
"Pearls, precious stones, metals, coins",3.11,5.05,3.11,5.05
Articles of iron or steel,2.72,3.66,2.72,3.66
Copper,2.69,4.13,2.69,4.13
Wood and articles of wood,2.29,1,2.29,1
Vehicles,2.22,8.25,2.22,8.25
Ores slag and ash,2.09,3.01,2.09,3.01
"Cereal, flour, starch",1.88,1.02,1.88,1.02
Inorganic chemicals,1.83,3.34,1.83,3.34
